time	r_pcm	vr_pcm	fi_n	fi_v	snr_so	so_r_pcm	so_vr_pcm	so_fi_n_pcm	so_fi_v_pcm	z_r	z_vr	z_fi_n	z_fi_v
4.9806	929281.6717	5152.587891	2.694433274	0.021194284	24.08239965	-0.585532145	-2.403259277	-0.051175638	-0.002891139	929282.2572	5154.99115	2.745608912	0.024085423
5.0352	929006.8619	5152.587891	2.703274032	0.040622381	20.15650675	4.684257156	1.71661377	0.004556923	0.012142784	929002.1777	5150.871277	2.698717108	0.028479597
5.0898	928707.0695	5152.587891	2.706810353	0.058284291	21.58362492	-4.489079775	1.029968262	0.059433339	0.001413446	928711.5586	5151.557922	2.647377013	0.056870845
5.1444	928432.2597	5152.587891	2.703274032	0.077712398	18.97694955	-0.195177382	3.776550293	-0.032754615	0.041214796	928432.4549	5148.81134	2.736028647	0.036497602
5.199	928157.45	5152.587891	2.708578517	0.091841937	18.06179974	15.61419052	4.806518555	-0.007373931	0.074719902	928141.8358	5147.781372	2.715952448	0.017122035
5.2536	927857.6575	5152.587891	2.712114854	0.102439094	18.81757096	-9.563691694	6.17980957	-0.028142456	-0.038387904	927867.2212	5146.408081	2.740257309	0.140826998
5.3082	927582.8478	5141.601563	2.717419378	0.125399614	20.98436045	-4.879434538	-3.776550293	-0.019580962	0.026469984	927587.7272	5145.378113	2.73700034	0.098929629
5.3628	927308.038	5141.601563	2.722723926	0.139529174	18.97694955	19.12738339	-2.059936523	0.014388831	0.05978234	927288.9106	5143.661499	2.708335094	0.079746834
5.4174	927008.2455	5141.601563	2.724492113	0.15012635	17.03874929	-1.756596434	-1.373291016	-0.176615585	-0.030999436	927010.0021	5142.974854	2.901107698	0.181125786
5.472	926733.4358	5141.601563	2.742174133	0.169554519	11.01814938	429.3902393	162.7349854	-0.149715818	-0.036074992	926304.0456	4978.866577	2.891889952	0.205629511
5.5266	926458.626	5130.615234	2.749247015	0.187216508	12.79697104	14.44312623	-7.553100586	0.034908797	0.081241033	926444.1829	5138.168335	2.714338217	0.105975476
5.5812	926158.8336	5130.615234	2.752783471	0.201346112	20.56057447	-5.074611919	-6.17980957	0.066365391	0.016094007	926163.9082	5136.795044	2.68641808	0.185252105
5.634	925884.0238	5130.615234	2.74747879	0.215475728	23.0593492	1.366241671	-6.523132324	0.032202261	-0.016094007	925882.6576	5137.138367	2.71527653	0.231569735
5.6886	925609.2141	5130.615234	2.745710569	0.234903972	22.33939614	5.855321445	-5.493164063	-0.009666201	-0.036428354	925603.3588	5136.108398	2.75537677	0.271332326
5.7432	925334.4043	5130.615234	2.751015241	0.259630867	22.49877473	16.19972267	-4.463195801	-0.027231071	-0.003469367	925318.2046	5135.07843	2.778246312	0.263100234
5.7978	925034.6119	5130.615234	2.758088175	0.279059176	23.25454595	-1.561419052	-2.403259277	-0.023613149	-0.039126751	925036.1733	5133.018494	2.781701324	0.318185926
5.8524	924759.8021	5119.628906	2.765161151	0.30378616	24.08239965	5.464966682	-10.64300537	-0.007815814	-0.002762644	924754.3371	5130.271912	2.772976965	0.306548804
5.907	924484.9924	5119.628906	2.768697654	0.323214545	20.98436045	18.15149648	-8.239746094	0.025104506	-0.044812659	924466.8409	5127.868652	2.743593148	0.368027204
